Filename,konsentrasi logam (pppm),Rasio volume logam : pigmen (mL),temperatur,watu reaksi (menit),backgroud type,Light Type,Jarak (cm),device,ISO,Aperture f/number,Shutter speed,notes,mean_R,mean_G,mean_B
0.7fe_p.jpg,"0,7",6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,205.6111111,178.8833333,193.2722222
0.8fe_p.jpg,"0,8",6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,202.2111111,176.7944444,191.0055556
0.9fe_p.jpg,"0,9",6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,204.0388889,177.7222222,192.0666667
0fe10_h.jpg,0,6 ; 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,210.4333333,187.4055556,202.7333333
1fe_h.jpg,1,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,212.5777778,189.5222222,204.1666667
2fe_h.jpg,2,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,206.9111111,181.7555556,197.5
3fe_h.jpg,3,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,209.9388889,186.2888889,200.4944444
4fe_h.jpg,4,6 ; 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,205.5,182.9444444,195.8333333
5fe_h.jpg,5,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,212.1,189.9833333,202.4722222
6fe_h.jpg,6,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,211.7722222,190.3444444,200.8277778
7fe_h.jpg,7,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,205.55,184.1444444,196.3722222
8fe_h.jpg,8,6 ; 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,205.2777778,182.85,193.7333333
9fe_h.jpg,9,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,210.2277778,187.3944444,199.5333333
10fe_h.jpg,10,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,210.6111111,189.1611111,200.0555556
0fe10_p.jpg,0,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,204.1444444,180.9444444,196.2277778
1fe_p.jpg,1,6 ; 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,202.8888889,179.5333333,194.9222222
2fe_p.jpg,2,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,202.4111111,178.35,193.2388889
3fe_p.jpg,3,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,203.2666667,179.9888889,194
