Filename,konsentrasi (pppm),Rasio volume logam : pigmen (mL),temperatur,watu reaksi (menit),Background,Light type,Jarak (cm),device,ISO,Aperture f/number,Shutter speed,notes,mean_R,mean_G,mean_B,R_norm,G_norm,B_norm,h,s,v,R_G_ratio,R_B_ratio,G_B_ratio
0cu(1)_P.jpg,0,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,191.29444444444445,170.2,184.08333333333331,0.7501742919389979,0.6674509803921568,0.7218954248366012,320.51092968132747,0.11027212267301734,0.7501742919389979,1.1239391499442146,1.0391730741798355,0.9245812534653803
0cu(10)_H3P.jpg,0,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,206.8111111111111,183.88888888888889,199.86666666666667,0.8110239651416121,0.7211328976034859,0.7837908496732027,318.1774115365971,0.11083651211518819,0.8110239651416121,1.1246525618598955,1.0347453806355857,0.9200578117186344
0cu(10)_H4P.jpg,0,6 : 4,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,207.88333333333333,182.13333333333333,200.87777777777777,0.8152287581699346,0.7142483660130718,0.787755991285403,316.32362459546925,0.12386755391645954,0.8152287581699346,1.1413799351681189,1.0348747113701686,0.9066873122627437
0cu(10)_P4P.jpg,0,6 : 4,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,190.5055555555556,166.98888888888888,184.25,0.7470806100217866,0.6548583877995643,0.7225490196078431,315.96031183557767,0.12344346913184229,0.7470806100217866,1.1408277262176798,1.0339514492353006,0.9063168954277991
0cu(100)_H3P.jpg,0,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,206.17777777777775,183.4611111111111,198.9055555555556,0.8085403050108931,0.7194553376906317,0.7800217864923749,319.2076302274393,0.11017999568872597,0.8085403050108931,1.1238227840508705,1.036561176812529,0.9223528708202239
0cu(100)_H4P.jpg,0,6 : 4,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,183.42777777777775,166.2111111111111,177.4,0.7193246187363833,0.6518082788671024,0.6956862745098039,321.0067763794772,0.09386073840748695,0.7193246187363833,1.1035831205747388,1.0339784483866927,0.9369284677236902
0cu(100)_P3P.jpg,0,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,183.34444444444443,164.9111111111111,176.00555555555556,0.7189978213507625,0.646710239651416,0.6902178649237473,323.8878842676311,0.10053936125083336,0.7189978213507625,1.1117773817504404,1.0416969102141522,0.9369653682442546
100cu_H3P.jpg,100,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,198.56666666666663,188.4,187.63888888888889,0.7786928104575163,0.7388235294117648,0.735838779956427,4.178952719878112,0.05503329416372888,0.7786928104575163,1.0539631932733728,1.0582383363291517,1.0040562492751999
100cu_H4P.jpg,100,6 : 4,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,201.97222222222223,188.53333333333333,188.38888888888889,0.7920479302832244,0.7393464052287582,0.7387799564270152,0.6380368098159579,0.06725347269976624,0.7920479302832244,1.0712812295841991,1.0721026189036134,1.0007667301640222
100cu_P3P.jpg,100,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,196.65,186.55,183.7111111111111,0.7711764705882354,0.7315686274509804,0.7204357298474945,13.164448261056293,0.06579653642964109,0.7711764705882354,1.0541409753195337,1.0704306219705604,1.0154530003997357
10cu_H3P.jpg,10,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,206.66666666666663,194.66666666666663,194.67222222222225,0.8104575163398692,0.7633986928104574,0.7634204793028323,359.97222222222194,0.05806451612903233,0.8104575163398692,1.0616438301627886,1.0616135329730758,0.9999714568649618
10cu_H4P.jpg,10,6 : 4,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,211.30555555555557,199.12777777777777,198.57222222222225,0.828649237472767,0.7808932461873638,0.7787145969498912,2.6178010471201674,0.06026028657815164,0.828649237472767,1.0611555899057556,1.0641244385881878,1.0027977455584702
10cu_P3P.jpg,10,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,194.83333333333331,184.61111111111111,182.26666666666668,0.7640522875816993,0.7239651416122005,0.7147712418300655,11.193633952254629,0.06449957228400323,0.7640522875816993,1.055371646404848,1.0689465925258963,1.012862710853594
10cu_P4P.jpg,10,6 : 4,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,190.74444444444444,178.86111111111111,177.5388888888889,0.7480174291938998,0.7014161220043573,0.6962309368191721,6.007572570466948,0.06923166540455523,0.7480174291938998,1.0664388820637056,1.074381193685621,1.0074475019138045
10cu(100)_H3P.jpg,10,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,197.9777777777778,186.7111111111111,186.32777777777775,0.7763834422657953,0.7322004357298475,0.7306971677559911,1.9742489270388432,0.05884498821416569,0.7763834422657953,1.0603427698505803,1.0625242198260427,1.0020573010414648
10cu(100)_H4P.jpg,10,6 : 4,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,199.7555555555556,185.26111111111112,185.2555555555556,0.7833551198257082,0.7265141612200436,0.7264923747276689,0.022988505747093768,0.07258871954611193,0.7833551198257082,1.0782379166316964,1.0782702514817775,1.0000299832062196
1cu_H3P.jpg,1,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,203.95555555555555,189.2722222222222,195.7,0.7998257080610022,0.742244008714597,0.7674509803921569,333.7343927355278,0.07199280889082588,0.7998257080610022,1.0775778510093044,1.0421847445752213,0.9671549374300832
1cu_H4P.jpg,1,6 : 4,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,213.12222222222223,194.46666666666667,203.7111111111111,0.8357734204793029,0.7626143790849673,0.7988671023965142,330.2680166765933,0.08753453938793608,0.8357734204793029,1.095931887862309,1.0461983149253928,0.9546198273199638
1cu_P4P.jpg,1,6 : 4,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,176.00555555555556,160.8388888888889,166.98333333333332,0.6902178649237473,0.6307407407407408,0.6548366013071895,335.6923076923078,0.08617152236356161,0.6902178649237473,1.0942972540854026,1.0540306687385461,0.9632032413954627
20cu_H3P.jpg,20,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,199.5,187.74444444444444,188.13888888888889,0.7823529411764706,0.7362527233115468,0.7377995642701525,357.98676748582227,0.058925090504037936,0.7823529411764706,1.0626146596653063,1.0603868244243428,0.9979034348258492
20cu_H4P.jpg,20,6 : 4,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,199.62222222222223,187.4055555555556,187.37777777777777,0.7828322440087147,0.7349237472766886,0.7348148148148148,0.13611615245031317,0.06133808304575316,0.7828322440087147,1.0651883855057684,1.0653462941246938,1.0001482394441807
20cu_P3P.jpg,20,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,197.4,186.36111111111111,184.0888888888889,0.7741176470588236,0.7308278867102397,0.7219172113289761,10.242070116861385,0.06743217381515247,0.7741176470588236,1.059233859273749,1.0723080579123778,1.0123430654809948
2cu_H3P.jpg,2,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,205.13888888888889,191.9,193.86111111111111,0.8044662309368191,0.7525490196078432,0.760239651416122,351.1120436424674,0.06453622207176703,0.8044662309368191,1.0689884722245984,1.0581745181122966,0.9898839324207163
2cu_H4P.jpg,2,6 : 4,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,205.67222222222225,188.0,193.17222222222225,0.8065577342047932,0.7372549019607844,0.7575381263616559,342.4394844388557,0.08592420518084339,0.8065577342047932,1.0940011762139419,1.0647090911493016,0.9732248087434796
2cu_P4P.jpg,2,6 : 4,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,188.2333333333333,172.85,176.7722222222222,0.7381699346405227,0.677843137254902,0.6932244008714596,344.7020585048754,0.08172480963343347,0.7381699346405227,1.0889981616681235,1.0648354696354256,0.9778119935885428
30cu_H3P.jpg,30,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,194.2888888888889,183.2888888888889,182.1555555555556,0.761917211328976,0.7187799564270153,0.714335511982571,5.604395604395506,0.062449959967974214,0.761917211328976,1.0600145431982717,1.0666097294135124,1.0062217829352225
30cu_H4P.jpg,30,6 : 4,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,202.95,190.4333333333333,190.10555555555555,0.7958823529411764,0.7467973856209149,0.7455119825708061,1.5311418685120088,0.06328871369521766,0.7958823529411764,1.0657272830436166,1.0675647975638778,1.001724183047127
