link ,Filename,konsentrasi (pppm),Rasio volume logam : pigmen (mL),temperatur,watu reaksi (menit),Background,Light type,Jarak (cm),device,ISO,Aperture f/number,Shutter speed,notes,mean_R,mean_G,mean_B
2cu_P4P.jpg,2cu_P4P.jpg,2,6 : 4,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,188.23333333333332,172.85,176.7722222222222
30cu_H3P.jpg,30cu_H3P.jpg,30,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,194.2888888888889,183.2888888888889,182.15555555555557
30cu_H4P.jpg,30cu_H4P.jpg,30,6 : 4,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,202.95,190.43333333333334,190.10555555555555
30cu_P3P.jpg,30cu_P3P.jpg,30,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,199.46666666666667,188.92777777777778,186.73888888888888
3cu_H3P.jpg,3cu_H3P.jpg,3,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,198.9388888888889,186.95555555555555,187.0888888888889
3cu_H4P.jpg,3cu_H4P.jpg,3,6 : 4,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,204.64444444444445,190.01111111111112,192.48888888888888
3cu_P4P.jpg,3cu_P4P.jpg,3,6 : 4,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,195.5,181.23888888888888,182.29444444444445
40cu_H3P.jpg,40cu_H3P.jpg,40,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,201.68333333333334,190.85555555555555,190.62222222222223
40cu_H4P.jpg,40cu_H4P.jpg,40,6 : 4,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/20 s,,202.95555555555555,190.34444444444443,190.35555555555555
40cu_P3P.jpg,40cu_P3P.jpg,40,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,196.3388888888889,186.12777777777777,183.94444444444446
4cu_H3P.jpg,4cu_H3P.jpg,4,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,204.77777777777777,193.6611111111111,194.02777777777777
4cu_H4P.jpg,4cu_H4P.jpg,4,6 : 4,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,204.31666666666666,190.29444444444445,191.19444444444446
4cu_P4P.jpg,4cu_P4P.jpg,4,6 : 4,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,202.86111111111111,188.95555555555555,188.84444444444443
50cu_H3P.jpg,50cu_H3P.jpg,50,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,199.23888888888888,189.0388888888889,188.17222222222222
50cu_H4P.jpg,50cu_H4P.jpg,50,6 : 4,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,201.32222222222222,188.46666666666667,187.82777777777778
50cu_P3P.jpg,50cu_P3P.jpg,50,6 : 3,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,195.34444444444443,185.66666666666666,183.08333333333334
5cu_H3P.jpg,5cu_H3P.jpg,5,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,204.47222222222223,192.6888888888889,192.5888888888889
5cu_H4P.jpg,5cu_H4P.jpg,5,6 : 4,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,204.04444444444445,190.36111111111111,190.96666666666667
5cu_P4P.jpg,5cu_P4P.jpg,5,6 : 4,25°C,5,putih,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,199.9,186.71666666666667,185.8388888888889
60cu_H3P.jpg,60cu_H3P.jpg,60,6 : 3,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,200.7888888888889,190.23888888888888,189.11111111111111
60cu_H4P.jpg,60cu_H4P.jpg,60,6 : 4,25°C,5,hitam,layar smartphone redmi 5A brightness 0%,15,Samsung A32 16 MP,1250,"F1,8",1/25 s,,202.82777777777778,190.42222222222222,189.50555555555556
